time,frame_number,x1,y1,x2,y2,track_id
2.0,56,527.5629290730491,291.29126986966907,641.545081788813,404.86189368704396,3
2.0,56,329.9226058668997,293.8478040597707,462.1569879342825,411.44461560506204,4
3.0,85,527.438760138213,291.0087022389533,641.1812924165207,404.23130154160964,3
3.0,85,329.5531508585654,292.8956845144746,463.492173892801,412.00278909931853,4
4.0,113,527.2277110563808,290.7532555836908,641.6282250424675,404.6236193294562,3
4.0,113,330.3732006079327,292.56118879019965,464.1910639239434,411.504270629181,4
4.0,113,394.52806343913574,186.36268540875375,499.9020782557015,292.95634571923165,8
5.0,141,526.8451502907808,290.77925011195725,641.7308988192207,405.1423315465743,3
5.0,141,330.4269133142792,293.63377309193135,463.3510450365804,411.7264393615227,4
5.0,141,372.1464499182075,200.65117624103135,479.8522205084581,309.3174178880236,8
6.0,170,527.0777295776763,290.97101410753584,641.3035968975631,404.62821404490705,3
6.0,170,330.8549870066307,294.9878517226604,461.9220011476033,411.3004854110287,4
6.0,170,353.8915650966766,212.41925828017227,467.3054968471902,326.89774353549853,8
7.0,198,527.177093886272,290.87872287034793,641.614111408161,404.7361856077143,3
7.0,198,330.9910515772549,294.9482380036877,461.75337247623315,410.9140770005031,4
7.0,198,346.39756559460494,222.60883399502555,455.5702056593433,331.99522714173065,8
8.0,227,527.243297117865,291.03466477793927,641.413542138421,404.5584028363717,3
8.0,227,330.22306019065957,292.55641605848086,463.7216096209139,411.1006400312377,4
8.0,227,342.26671734316204,228.05532067887023,448.9355659921034,333.9142963834845,8
9.0,255,527.5913223674343,291.58230160639965,641.2033287094328,404.41592466860254,3
9.0,255,330.65447690054725,293.6329491570272,462.89201608181213,410.8858806537119,4
9.0,255,341.5452122584754,230.13772836404337,443.1292367550152,329.62565420389933,8
10.0,283,527.6102125690119,291.47675047230166,641.4886117583652,404.5185894050606,3
10.0,283,330.50210166442525,293.37252316649403,463.21220715239537,410.98980546926504,4
10.0,283,342.6116660115224,230.1995819874209,443.26017119588425,327.45164331702216,8
11.0,312,527.2212129067389,291.422617096244,641.5716899705837,404.91282404677145,3
11.0,312,330.3312822794547,294.1784138482193,462.5281158038474,411.2545567220807,4
11.0,312,342.4421631922257,229.76734508188503,444.40606015515675,327.0320695300245,8
12.0,340,527.1295498899361,291.2444195887116,641.7350525794766,405.01419506877573,3
12.0,340,330.08915819818196,293.0981367516135,463.39539046940075,411.1741636856484,4
12.0,340,342.54395543847033,229.61106631012393,444.81758088354275,325.9628509020551,8
13.0,369,527.1161929950478,291.4477975156481,641.4854510891878,404.927625858758,3
13.0,369,329.90844448115797,293.706066972486,462.65079725829037,411.24582457394627,4
13.0,369,342.15454387941935,229.10181360135067,446.92757373560056,326.66333530880144,8
14.0,397,527.2942120902198,291.3873345650129,641.4551934083264,404.5674286546255,3
14.0,397,330.4414298724772,293.5615859005268,463.3364292658101,411.2389642011711,4
14.0,397,341.9523728153926,228.72364450396913,448.502294916388,326.83466734400076,8
15.0,425,527.4577975349648,291.69210812440747,641.403405740643,404.55074792322887,3
15.0,425,329.97735049417577,291.74194396783304,464.6492626911231,411.2146916937888,4
15.0,425,341.79289954100517,228.58044877146594,449.1775039072854,326.4646485887359,8
16.0,454,526.9798315223131,291.51814714768665,641.1342695471113,404.5692525248318,3
16.0,454,330.674822925827,294.3563135093655,462.84824041532625,411.37728095269125,4
16.0,454,341.22791003125104,228.35734141177994,448.2464632686887,324.93124980268004,8
17.0,482,527.0084346893036,291.74188545202287,641.4347370769151,405.0194113005841,3
17.0,482,330.0347176661551,293.7430993333985,462.8727727468702,411.3913178649859,4
17.0,482,340.4720477740772,228.16022473165316,449.09893214185956,325.43321920916003,8
18.0,511,526.748213151314,291.32832052635746,641.4173603974843,404.9151586952424,3
18.0,511,330.61732880061584,295.15653533840333,462.00419045518987,411.3902478595122,4
18.0,511,340.23444179541775,227.8704705935271,455.06005649376925,330.1326825769802,8
19.0,539,526.7894422148839,291.4038353472736,641.2556165241011,404.7328048280322,3
19.0,539,330.134601025299,294.7829344655982,462.12638772028026,411.55892012027823,4
19.0,539,339.6272642374607,227.8379148628823,452.79868358735615,328.03442164658907,8
20.0,567,526.5390431328477,291.5483329424991,641.294756372664,405.03808750807565,3
20.0,567,329.6890875067824,293.9731830508475,462.40712181301825,411.46725430091885,4
20.0,567,339.2256870443129,227.9193850487903,451.85776897934375,327.15575240432236,8
21.0,596,526.911626889067,291.5091584703436,641.379960072987,404.6685844174823,3
21.0,596,330.47087893884213,295.4084381465102,461.6584939110514,411.339675902607,4
21.0,596,339.049193713798,227.6897834987381,452.89691160688943,327.63130892260233,8
22.0,624,526.8077120201071,291.28564146343626,641.6012623152393,404.7582284744274,3
22.0,624,330.46769750875694,294.6590318185981,462.5763392798517,411.3152155095192,4
22.0,624,337.7967631136642,227.41978492342207,454.22324629753973,329.3012120678709,8
23.0,652,526.7649946743863,291.34035230168894,641.5830764572116,404.81836588342173,3
23.0,652,329.9550721835401,294.754481505604,462.0900920677399,411.4049967185299,4
23.0,652,339.3162355246958,227.55895853614868,451.80853819060786,325.25739835290176,8
24.0,681,526.474757294297,290.86299892787963,641.6583088777368,404.7329553906405,3
24.0,681,329.8483216621446,294.4541932103919,462.33682735236096,411.3450362152559,4
24.0,681,339.3222565149097,227.39597887113146,453.0531431849193,325.81250416989207,8
25.0,709,526.6406726857084,291.1374467678901,641.3809823997038,404.469991168227,3
25.0,709,328.58638623880506,290.9438936800546,464.63649903822,411.48194870517284,4
25.0,709,339.2464715981821,227.37849456090288,452.015821174131,324.5247892031202,8
26.0,738,526.8404372234374,291.25668699451387,641.4356479620801,404.41307450667006,3
26.0,738,329.21678884433027,292.1036876950692,463.9099877232097,411.4841923231037,4
26.0,738,338.6854667656928,227.26273241133512,454.4711106245929,326.7510825951332,8
27.0,766,526.831821612879,291.16163238298486,641.6596072028134,404.6206597538182,3
27.0,766,328.9533688590172,291.29891912687685,464.34550610778354,411.5170341348258,4
27.0,766,339.14448686912743,227.43182740460907,452.797627762026,324.33663816771366,8
28.0,794,526.889017099022,291.45323226044155,641.8916372663906,405.0995240401596,3
28.0,794,329.1638504559804,291.7784151292244,464.31769453837603,411.97882956726824,4
28.0,794,337.9951409931666,227.08864811445062,455.4600860359438,326.9053303666749,8
29.0,823,526.6227138513323,291.1359489093637,641.8946083209283,405.147916090572,3
29.0,823,330.02277001100606,293.966907679859,462.31962774003034,411.5605326249132,4
29.0,823,338.44778802334974,227.05008890157063,454.987912209005,325.879573906615,8
30.0,851,526.698773477227,290.9048397375465,641.6992689354073,404.68192152295836,3
30.0,851,329.0776559348604,291.6708628734699,463.4865098353102,411.3210241512449,4
30.0,851,338.6061640688607,227.1214180454694,453.7358129208741,324.3957110426596,8
30.0,851,330.89600929264157,293.6846001752342,461.68556229223566,411.1196307875946,32
31.0,880,526.3191126474327,290.75369597178036,641.9835056127026,405.2956628983786,3
31.0,880,329.6936313703714,293.5989066438706,462.081063392253,411.4863388298364,4
31.0,880,339.28350851912074,226.86921333269754,454.2308027068037,323.5647230128876,8
31.0,880,330.02618820754435,292.43460300691703,462.5974045068709,411.487076709099,32
32.0,908,526.7506554853337,290.96222995635725,641.9127814902686,404.96246442983374,3
32.0,908,330.19013347093374,294.0367408407046,462.36071557461696,411.55601921357805,4
32.0,908,339.04281072834954,227.00789481981877,455.03979361962286,324.45316668433173,8
32.0,908,331.0315498030672,294.06594337957824,462.00282292857804,411.5342265760471,32
33.0,936,526.494104013626,291.01241993286965,641.3715206036206,404.78390706063556,3
33.0,936,329.5948643967455,293.94723455754996,461.8204511220381,411.61363351585914,4
33.0,936,338.28936926517906,227.24133909953764,453.85314644137407,324.1758735925897,8
33.0,936,329.56332032146497,292.143154219377,462.7807841538396,411.6653530755925,32
34.0,965,526.7149919995302,291.6107418332092,641.1047923587316,404.80582078098445,3
34.0,965,329.1383137127775,292.7502629799742,462.8291438497811,411.87501275400103,4
34.0,965,338.45032761515745,227.08948145296608,454.16121267040387,323.84433490543734,8
34.0,965,329.8574450180909,293.705842498622,461.37219696304476,411.69973121148263,32
34.0,965,582.0205749077695,65.27192814183405,627.5892732755722,101.53413781815215,52
35.0,993,526.7536321876,291.7274287666063,641.4230168101176,405.16222711923695,3
35.0,993,329.8048924788381,293.55095376846594,462.4839632524737,411.6624294673901,4
35.0,993,338.4588106034621,227.0171817919824,454.73292246679694,324.06149181640274,8
35.0,993,329.76216763351533,293.79146204443157,461.2011195900903,411.7173434368318,32
35.0,993,568.574935967492,71.91287649864081,622.7391860618018,115.34457384364264,52
36.0,1022,526.7204483454971,291.6118167652724,641.3115602455648,404.8058516062827,3
36.0,1022,329.02742685648883,292.2384159421886,462.77057506855016,411.47934731177344,4
36.0,1022,338.39388729635914,227.0851209717532,455.23748930157814,324.4186086867645,8
36.0,1022,557.5105480876705,86.83622482207765,612.8278514737265,131.27885318108213,52
36.0,1022,668.7161645458797,34.467119735421825,705.9028222053893,61.767914935136524,65
37.0,1050,526.4280843982908,291.3390384911004,641.2893200837382,404.883719795613,3
37.0,1050,329.2420214297288,292.98050351783814,462.3521444060323,411.7545247112522,4
37.0,1050,336.78479164630266,226.74629869938192,457.2019926015455,327.16945110246877,8
37.0,1050,539.8320330011239,105.97474720947717,599.2516181846975,153.96403092097856,52
37.0,1050,664.6670778638835,44.79040368899804,705.8247857455219,75.19707236184489,65
38.0,1078,526.6332332138662,291.1288723288164,641.2012468902793,404.2253363346975,3
38.0,1078,329.15610896375,292.58395749055074,462.488227060623,411.6876726621833,4
38.0,1078,336.2999326492631,226.7454429429967,459.00654710143016,329.31106311119623,8
38.0,1078,523.9635865017038,122.14803321289003,588.4161908002218,174.5137867893469,52
38.0,1078,666.5525210192419,53.26272259012329,712.4864976718861,87.47537270306633,65
39.0,1107,526.386436619712,291.17729359443575,641.4287032142146,404.7438287664348,3
39.0,1107,330.1285948216362,293.85443177240467,462.1313706126094,411.64196093815445,4
39.0,1107,338.0097415373663,226.89079948194134,456.774154499387,325.9282762411195,8
39.0,1107,508.8945350275568,137.250818918413,577.6987460402116,193.45394605157054,52
39.0,1107,663.5251686606406,59.15393254438261,712.1040954198734,95.33660159872423,65
40.0,1135,526.4942308139482,291.1549204078076,641.6599522339575,404.86279374161796,3
40.0,1135,329.56002377341684,292.8347728943265,462.50220366199363,411.5701044892928,4
40.0,1135,338.67292991116517,227.4192264398973,454.5714513047725,323.78890546243144,8
40.0,1135,493.6567174305335,151.52561305874016,567.1986530730289,211.82827777236426,52
